asset_no,url,img_url,subject,type,region,transfer_price,transfer_rate,description,remark,information,total_review,contact_name,contact_phone,contact_email,valuation,release_time,address,category,trade_type,area,use_area,owner,located,use_type
ZCFC005237,http://www.cnassets.com/moreInformation/house/12/12782/0.html,1,上海市邮政公司部分资产（甘泉一村126号101室）,房产,上海市,240.00万元,[u'240.00\u4e07\u5143'],,声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,240.00,2017.12.06,上海市,房产,,48.06,48.06,,上海市甘泉一村126号,资产描述： 房屋竣工于1981年，目前空置、未装修、堆物
ZCFC005236,http://www.cnassets.com/moreInformation/house/12/12781/0.html,1,上海市邮政公司部分资产（控江二村107弄13号204室）,房产,上海市,187.00万元,[u'187.00\u4e07\u5143'],,,1,0,,,,187.00,2017.12.06,上海市,房产,,,,,上海市控江二村107弄13号,资产描述： 房屋竣工于1995年，目前空置，未装修
ZCFC005230,http://www.cnassets.com/moreInformation/house/12/12775/0.html,1,邢台市桥东区东牛角桥东建安工程处住宅楼1号楼2层1单元3住宅,房产,河北省,面议,[u'\u9762\u8bae'],"
	邢台市桥东区东牛角桥东建安工程处住宅楼1号楼2层1单元3住宅用途房地产，根据评估报告显示，房屋所有权证号：邢房权证桥东字第258721号，房屋建筑面积82.86平方米，拍卖保留价,459100元，竞买保证金50000元。（有一配套小房未上证）
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省邢台市桥东区,房产,,,,,邢台市桥东区东牛角桥东建安工程处住宅楼,
ZCFC005228,http://www.cnassets.com/moreInformation/house/12/12773/0.html,1,霸州市金康东道南侧祥泰城小区10号楼3单元801室,房产,河北省,面议,[u'\u9762\u8bae'],"
	霸州市金康东道南侧祥泰城小区10号楼3单元801室。建筑面积约为93.73平方米。拍卖保留价：42.81万元，竞买保证金：8万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省廊坊市霸州市,房产,,,,,霸州市金康东道南侧祥泰城小区,
ZCFC005235,http://www.cnassets.com/moreInformation/house/12/12780/0.html,1,上海市邮政公司部分资产（控江路896弄6号504室）,房产,上海市,245.00万元,[u'245.00\u4e07\u5143'],,声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,245.00,2017.12.06,上海市,房产,,47.93,47.93,,上海市控江路896弄6号,资产描述： 房屋于1958年竣工，顶楼
ZCFC005232,http://www.cnassets.com/moreInformation/house/12/12777/0.html,1,秦皇岛市海港区幸福家园后道新村8栋3单元201号房产,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区幸福家园后道新村8栋3单元201号房产。建筑面积：119平方米。拍卖保留价：58.1553万元，竞买保证金：3万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区幸福家园后道新村,
ZCFC005234,http://www.cnassets.com/moreInformation/house/12/12779/0.html,1,上海市邮政公司部分资产（管弄路311弄54号401-3室）,房产,上海市,383.00万元,[u'383.00\u4e07\u5143'],,,1,0,,,,383.00,2017.12.06,上海市,房产,,74.61,74.61,,上海市管弄路311弄54号,资产描述： 房屋竣工于1987年，目前空置，未装修，堆物
ZCFC005229,http://www.cnassets.com/moreInformation/house/12/12774/0.html,1,大厂回族自治县清真食品交易商城主楼27单元0001号房屋建筑物一套,房产,河北省,面议,[u'\u9762\u8bae'],"
	大厂回族自治县清真食品交易商城主楼27单元0001号房屋建筑物一套。建筑面积为584.97平方米，产权证号为大厂县房权证大字第12888号。拍卖保留价：353.83664万元，竞买保证金：35万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省廊坊市大厂回族自治县,房产,,,,,大厂回族自治县清真食品交易商城主楼27单元,
ZCFC005231,http://www.cnassets.com/moreInformation/house/12/12776/0.html,1,秦皇岛市海港区新征里14-6-4号房产（含下房一间）,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区新征里14-6-4号房产（含下房一间）。建筑面积：43.27平方米，拍卖保留价：23.6176万元，竞买保证金：1.2万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区新征里14-6-4号,
ZCFC005233,http://www.cnassets.com/moreInformation/house/12/12778/0.html,1,上海市浦东新区桃林路777、779号（鄂尔多斯艾力大厦）第十层1005室房产租赁权,房产,上海市,面议,[u'\u9762\u8bae'],,,1,0,,,,面议,2017.12.06,上海市,房产,,,,,上海市浦东新区桃林路777、779号（鄂尔多斯艾力大厦）,资产描述： 上海市浦东新区桃林路777、779号（鄂尔多斯艾力大厦）第十层1005室房产租赁权
ZCFC005222,http://www.cnassets.com/moreInformation/house/12/12765/0.html,1,张家港市金港镇港区长江中路35号7幢第3层房产,房产,江苏省,552.00万元,[u'552.00\u4e07\u5143'],,,1,0,,,,552.00,2017.12.05,江苏省苏州市张家港市,房产,,1091.61,1091.61,,,"资产描述： 金港镇位于全国文明城市张家港市的西郊,地处沿江长三角经济区域宝地，坐落于上海、南京、无锡、常州等城市的怀抱之中，是张家港市临港经济板块的“桥头堡”和“前哨兵”，也是张家港市经济、政治、文化的副中心和我市对外开放的重要窗口。标的资产位于新世纪百货内，紧邻金港镇政府，周围银行、学校、宾馆、美食街一应俱全。"
ZCFC005221,http://www.cnassets.com/moreInformation/house/12/12764/0.html,1,朝阳区西坝河南路1号1号楼（兰苑）15E,房产,北京市,720.11万元,[u'720.11\u4e07\u5143'],,,1,0,,,,720.11,2017.12.05,北京市,房产,,,,,,资产描述： 中外运房地产开发公司部分资产（朝阳区西坝河南路1号1号楼（兰苑）15E），产权证号：京房权证市朝国字第1560057号，土地证号：京市朝国国用（2004出）字第1560057号。
ZCFC005218,http://www.cnassets.com/moreInformation/house/12/12761/0.html,1,上海市浦东大道1097弄12号21D室,房产,上海市,"1,030.00万元","[u'1,030.00\u4e07\u5143']",,,1,0,,,,"1,030.00",2017.12.05,上海市,房产,,168.2,168.2,,上海市浦东大道1097弄12号,资产描述： 湖南天辰建设有限责任公司部分资产（上海市浦东大道1097弄12号21D室）
ZCFC005223,http://www.cnassets.com/moreInformation/house/12/12768/0.html,1,霸州市金康东道南侧祥泰城小区10号楼1单元602室,房产,河北省,面议,[u'\u9762\u8bae'],"
	霸州市金康东道南侧祥泰城小区10号楼1单元602室。建筑面积约为93.73平方米。拍卖保留价：41.57万元，竞买保证金：8万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省廊坊市霸州市,房产,,,,,霸州市金康东道南侧祥泰城小区,
ZCFC005219,http://www.cnassets.com/moreInformation/house/12/12762/0.html,1,上海中虹（集团）有限公司位于上海市四川北路1688号6层整层房屋租赁权,房产,上海市,面议,[u'\u9762\u8bae'],,,1,0,,,,面议,2017.12.05,上海市,房产,,2143.63,2143.63,,,资产描述： 上海中虹（集团）有限公司位于上海市四川北路1688号6层整层房屋租赁权
ZCFC005225,http://www.cnassets.com/moreInformation/house/12/12770/0.html,1,霸州市金康东道南侧祥泰城小区10号楼2单元401室,房产,河北省,面议,[u'\u9762\u8bae'],"
	霸州市金康东道南侧祥泰城小区10号楼2单元401室。建筑面积约为93.73平方米。拍卖保留价：40.34万元，竞买保证金：8万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省廊坊市霸州市,房产,,,,,霸州市金康东道南侧祥泰城小区,
ZCFC005226,http://www.cnassets.com/moreInformation/house/12/12771/0.html,1,霸州市金康东道南侧祥泰城小区10号楼2单元801室,房产,河北省,面议,[u'\u9762\u8bae'],"
	霸州市金康东道南侧祥泰城小区10号楼2单元801室。建筑面积约为93.73平方米。拍卖保留价：42.81万元，竞买保证金：8万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省廊坊市霸州市,房产,,,,,霸州市金康东道南侧祥泰城小区,
ZCFC005227,http://www.cnassets.com/moreInformation/house/12/12772/0.html,1,霸州市金康东道南侧祥泰城小区10号楼2单元902室,房产,河北省,面议,[u'\u9762\u8bae'],"
	霸州市金康东道南侧祥泰城小区10号楼2单元902室。建筑面积约为93.73平方米。拍卖保留价：43.22万元，竞买保证金：8万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省廊坊市霸州市,房产,,,,,霸州市金康东道南侧祥泰城小区,
ZCFC005220,http://www.cnassets.com/moreInformation/house/12/12763/0.html,1,朝阳区西坝河南路1号1号楼（兰苑）16E,房产,北京市,723.71万元,[u'723.71\u4e07\u5143'],,声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,723.71,2017.12.05,北京市,房产,,109.03,109.03,,,资产描述： 中外运房地产开发公司部分资产（朝阳区西坝河南路1号1号楼（兰苑）16E），产权证号：京房权证市朝国字第1560056号，土地证号：京市朝国国用（2004出）字第1560056号。
ZCFC005224,http://www.cnassets.com/moreInformation/house/12/12769/0.html,1,霸州市金康东道南侧祥泰城小区10号楼1单元1001室,房产,河北省,面议,[u'\u9762\u8bae'],"
	霸州市金康东道南侧祥泰城小区10号楼1单元1001室。建筑面积约为93.73平方米。拍卖保留价：43.63万元，竞买保证金：8万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.06,河北省廊坊市霸州市,房产,,,,,霸州市金康东道南侧祥泰城小区,
ZCFC005215,http://www.cnassets.com/moreInformation/house/12/12758/0.html,1,上海市邮政公司部分资产（延吉五村13号303室）,房产,上海市,265.00万元,[u'265.00\u4e07\u5143'],,,1,0,,,,265.00,2017.12.05,上海市,房产,,50.19,50.19,,延吉五村13号,资产描述： 房屋竣工于1986年，沿马路，现被占用
ZCFC005212,http://www.cnassets.com/moreInformation/house/12/12755/0.html,1,海南英大房地产开发有限公司部分资产(海口市龙昆南路龙泉公寓403室),房产,海南省,64.94万元,[u'64.94\u4e07\u5143'],,声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,64.94,2017.12.05,海南省海口市,房产,,133.63,133.63,,,资产描述： 海南英大房地产开发有限公司部分资产(海口市龙昆南路龙泉公寓403室)
ZCFC005209,http://www.cnassets.com/moreInformation/house/12/12737/0.html,1,霸州市金康西道城六商住小区1-6-402室房屋建筑物一套,房产,河北省,面议,[u'\u9762\u8bae'],"
	霸州市金康西道城六商住小区1-6-402室房屋建筑物一套。建筑面积：139.99平方米，产权证号：廊房权证霸字第A29722号。拍卖保留价：136.93万元，竞买保证金：27万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,河北省廊坊市霸州市,房产,,,,,霸州市金康西道城六商住小区,
ZCFC005211,http://www.cnassets.com/moreInformation/house/12/12754/0.html,1,上海市邮政公司部分资产（白玉新村121号917室）,房产,上海市,250.00万元,[u'250.00\u4e07\u5143'],,,1,0,,,,250.00,2017.12.05,上海市,房产,,43.13,43.13,,白玉新村121号,资产描述： 房屋竣工于1990年，空置，未装修
ZCFC005214,http://www.cnassets.com/moreInformation/house/12/12757/0.html,1,重庆天府矿业有限责任公司部分资产（上海市徐汇区龙华西路345弄1号701室房产）,房产,上海市,570.94万元,[u'570.94\u4e07\u5143'],,,1,0,,,,570.94,2017.12.05,上海市,房产,,88.71,88.71,, 上海市徐汇区龙华西路345弄1号,资产描述： 上海市徐汇区龙华西路345弄1号701室房产
ZCFC005216,http://www.cnassets.com/moreInformation/house/12/12759/0.html,1,朝阳区西坝河南路1号1号楼（兰苑）12E,房产,北京市,面议,[u'\u9762\u8bae'],,,1,0,,,,面议,2017.12.05,北京市,房产,,,,,朝阳区西坝河南路1号,"资产描述：朝阳区西坝河南路1号1号楼（兰苑）12E）,产权证号：京房权证市朝国字第1560058号，土地证号：京市朝国国用（2004出）字第1560058号。"
ZCFC005213,http://www.cnassets.com/moreInformation/house/12/12756/0.html,1,上海市邮政公司部分资产（双辽支路65弄16号503室）,房产,上海市,226.00万元,[u'226.00\u4e07\u5143'],,,1,0,,,,226.00,2017.12.05,上海市,房产,,40.8,40.8,,双辽支路65弄16号,资产描述：房屋竣工于1993年，目前空置
ZCFC005217,http://www.cnassets.com/moreInformation/house/12/12760/0.html,1,上海市浦东大道1097弄12号21C室,房产,上海市,"1,050.00万元","[u'1,050.00\u4e07\u5143']",,,1,0,,,,"1,050.00",2017.12.05,上海市,房产,,171.1,171.1,,上海市浦东大道1097弄12号,资产描述： 湖南天辰建设有限责任公司部分资产（上海市浦东大道1097弄12号21C室）
ZCFC005210,http://www.cnassets.com/moreInformation/house/12/12738/0.html,1,三河市燕郊开发区燕顺路西侧、安博公司北侧星河皓月小区B9-2-602房产一处,房产,河北省,面议,[u'\u9762\u8bae'],"
	三河市燕郊开发区燕顺路西侧、安博公司北侧星河皓月小区B9-2-602房产一处。房屋建筑面积为100.73平方米，产权证号：三河市房权证燕字第045827号。拍卖保留价：221.46096万元，竞买保证金：30万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,河北省廊坊市三河市,房产,,,,,三河市燕郊开发区燕顺路西侧、安博公司北侧星河皓月小区,
ZCTF000640,http://www.cnassets.com/moreInformation/landHouse/12/12741/0.html,1,某公司土地、地上房屋及设备,土地和房产,北京市,面议,[u'\u9762\u8bae'],,,1,0,,,,面议,2017.12.05,,土地和房产,,,,,, 
ZCTF000638,http://www.cnassets.com/moreInformation/landHouse/12/12729/0.html,1,围场满族蒙古族自治县围场镇三街四组涉案土地使用权及地上建筑物,土地和房产,河北省,面议,[u'\u9762\u8bae'],"
	位于围场满族蒙古族自治县围场镇三街四组涉案土地使用权及地上建筑物。产权证号：围证字第030666号，证载建筑面积：107.5平方米；土地证号：围国用（2003）第0851号，证载土地面积：218.2平方米；地上附着物包括南房、棚子等。拍卖形式：整体拍卖。拍卖保留价：140.94万元，竞买保证金：14万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,围场满族蒙古族自治县围场镇三街四组,土地和房产,,围场满族蒙古族自治县围场镇三街四组,围场满族蒙古族自治县围场镇三街四组,,,
ZCFC005202,http://www.cnassets.com/moreInformation/house/12/12728/0.html,1,福建省厦门市湖里区和悦里90号地下一层A11车位,房产,福建省,69.07万元,[u'69.07\u4e07\u5143'],,,1,0,,,,69.07,2017.12.04,福建省厦门市,房产,,41.65,41.65,,福建省厦门市湖里区和悦里,坐落位置： 湖里区和悦里90号地下一层A11车位 
ZCFC005208,http://www.cnassets.com/moreInformation/house/12/12736/0.html,1,廊坊市广阳区万达广场B区201-1-906室房产一套,房产,河北省,面议,[u'\u9762\u8bae'],"
	廊坊市广阳区万达广场B区201-1-906室房产一套。住宅建筑面积为199.69平方米。拍卖保留价：231.06万元，竞买保证金：45万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,河北省廊坊市广阳区,房产,,,,,廊坊市广阳区万达广场B区,
ZCFC005201,http://www.cnassets.com/moreInformation/house/12/12727/0.html,1,福建省厦门市湖里区和悦里90号地下一层A10车位,房产,福建省,75.52万元,[u'75.52\u4e07\u5143'],,,1,0,,,,75.52,2017.12.04,福建省厦门市,房产,,45.54,45.54,,福建省厦门市湖里区和悦里,坐落位置： 湖里区和悦里90号地下一层A10车位 
ZCFC005206,http://www.cnassets.com/moreInformation/house/12/12734/0.html,1,廊坊市广阳区万达广场A区3-1-2101室房产一套,房产,河北省,面议,[u'\u9762\u8bae'],"
	廊坊市广阳区万达广场A区3-1-2101室房产一套。建筑面积：70.76平方米。拍卖保留价：83.34万元，竞买保证金：15万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,河北省廊坊市广阳区,房产,,,,,廊坊市广阳区万达广场A区,
ZCFC005207,http://www.cnassets.com/moreInformation/house/12/12735/0.html,1,廊坊市广阳区万达广场写字楼Ｂ区201-1-908室房屋建筑物一套,房产,河北省,面议,[u'\u9762\u8bae'],"
	廊坊市广阳区万达广场写字楼Ｂ区201-1-908室房屋建筑物一套。建筑面积：123.71平方米。拍卖保留价：143.14万元，竞买保证金：25万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,河北省廊坊市广阳区,房产,,,,,廊坊市广阳区万达广场写字楼Ｂ区,
ZCFC005205,http://www.cnassets.com/moreInformation/house/12/12733/0.html,1,河北省定州市唐河工业园区内涉案房地产及机器设备,房产,河北省,面议,[u'\u9762\u8bae'],"
	位于河北省定州市唐河工业园区内涉案房地产及机器设备。土地面积：15309平方米，房产总建筑面积：1314.9平方米，机器设备包括：内圆磨、钻铣床、里钻等。拍卖形式：整体拍卖，拍卖保留价：446.2095万元，竞买保证金：45万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,河北省保定市定州市,房产,,,,,河北省定州市唐河工业园区内,
ZCFC005203,http://www.cnassets.com/moreInformation/house/12/12731/0.html,1,围场满族蒙古族自治县四合永镇馨营小区3号楼1单元402室住宅（含地下室）,房产,河北省,面议,[u'\u9762\u8bae'],"
	围场满族蒙古族自治县四合永镇馨营小区3号楼1单元402室住宅（含地下室）。设计用途：住宅，建筑面积：90.15平方米，地下室建筑面积：15.31平方米。拍卖保留价：28.58万元，竞买保证金：3万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,河北省承德市围场满族蒙古族自治县,房产,,,,,围场满族蒙古族自治县四合永镇馨营小区,
ZCTF000639,http://www.cnassets.com/moreInformation/landHouse/12/12730/0.html,1,大厂回族自治县县城羊市街诚实里房屋一处及所占土地,土地和房产,河北省,面议,[u'\u9762\u8bae'],"
	大厂回族自治县县城羊市街诚实里房屋建筑物一处及所占土地。房屋建筑面积为48.71平方米，产权证号为8575号;所占土地使用面积为97.09平方米,宗地编号为01-(17)-11-33,土地使用权证号为大厂国用(2007)第01121号。拍卖保留价：95万元，竞买保证金：15万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,大厂回族自治县县城羊市街诚实里,土地和房产,,大厂回族自治县县城羊市街诚实里,大厂回族自治县县城羊市街诚实里,,,
ZCFC005204,http://www.cnassets.com/moreInformation/house/12/12732/0.html,1,承德市双桥区荣信大厦一层114号商铺,房产,河北省,面议,[u'\u9762\u8bae'],"
	承德市双桥区荣信大厦一层114号商铺。用途：商业，建筑面积：120.86平方米。拍卖保留价：287.6468万元，竞买保证金：30万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.05,河北省承德市双桥区,房产,,,,,承德市双桥区荣信大厦一层,
ZCFC005191,http://www.cnassets.com/moreInformation/house/12/12717/0.html,1,福建省厦门市湖里区和悦里92号11B单元房产,房产,福建省,771.48万元,[u'771.48\u4e07\u5143'],,,1,0,,,,771.48,2017.12.04,福建省厦门市,房产,,,,,厦门湖里区和悦里,
ZCFC005193,http://www.cnassets.com/moreInformation/house/12/12719/0.html,1,福建省厦门市湖里区和悦里92号7B单元房产,房产,福建省,431.39万元,[u'431.39\u4e07\u5143'],,,1,0,,,,431.39,2017.12.04,福建省厦门市,房产,,174.86,174.86,,厦门湖里区和悦里,坐落位置： 湖里区和悦里91号7B单元 
ZCFC005194,http://www.cnassets.com/moreInformation/house/12/12720/0.html,1,福建省厦门市湖里区和悦里93号5A单元房产,房产,福建省,448.14万元,[u'448.14\u4e07\u5143'],,,1,0,,,,448.14,2017.12.04,福建省厦门市,房产,,174.73,174.73,,厦门湖里区和悦里,坐落位置： 湖里区和悦里93号5A单元 
ZCFC005198,http://www.cnassets.com/moreInformation/house/12/12724/0.html,1,福建省厦门市湖里区和悦里92号10A单元房产,房产,福建省,419.72万元,[u'419.72\u4e07\u5143'],,,1,0,,,,419.72,2017.12.04,福建省厦门市,房产,,165.87,165.87,,福建省厦门市湖里区和悦里,坐落位置： 湖里区和悦里92号10A单元 
ZCFC005197,http://www.cnassets.com/moreInformation/house/12/12723/0.html,1,福建省厦门市湖里区和悦里93号5C单元房产,房产,福建省,349.87万元,[u'349.87\u4e07\u5143'],,,1,0,,,,349.87,2017.12.04,福建省厦门市,房产,,136.79,136.79,,福建省厦门市湖里区和悦里,坐落位置： 湖里区和悦里93号5C单元 
ZCFC005199,http://www.cnassets.com/moreInformation/house/12/12725/0.html,1,福建省厦门市湖里区和悦里90号地下一层A9车位,房产,福建省,61.82万元,[u'61.82\u4e07\u5143'],,,1,0,,,,61.82,2017.12.04,福建省厦门市,房产,,38.04,38.04,,福建省厦门市湖里区和悦里,坐落位置： 湖里区和悦里90号地下一层A9车位 
ZCFC005195,http://www.cnassets.com/moreInformation/house/12/12721/0.html,1,福建省厦门市湖里区和悦里92号4A单元房产,房产,福建省,411.65万元,[u'411.65\u4e07\u5143'],,,1,0,,,,411.65,2017.12.04,福建省厦门市,房产,,165.87,165.87,,厦门湖里区和悦里,坐落位置： 湖里区和悦里92号4A单元 
ZCFC005196,http://www.cnassets.com/moreInformation/house/12/12722/0.html,1,福建省厦门市湖里区和悦里92号11A单元房产,房产,福建省,726.27万元,[u'726.27\u4e07\u5143'],,,1,0,,,,726.27,2017.12.04,福建省厦门市,房产,,288.73,288.73,,厦门湖里区和悦里,坐落位置： 湖里区和悦里92号11A单元 
